perturbation,level,samples,f1_macro,f1_micro,precision_macro,sensitivity_macro
clean,0.0,6421,0.7180009475599407,0.7445998583569405,0.7888467288981741,0.6728465588731144
gaussian_noise,0.05,6421,0.6287265460113386,0.6122166806577453,0.7746480822969145,0.5689529729107565
gaussian_noise,0.1,6421,0.5568501630322044,0.5326935245728749,0.7673717899464867,0.4857206845014086
baseline_wander,0.1,6421,0.6415381771094947,0.6355875299760192,0.7699922428833627,0.5841490035832524
baseline_wander,0.2,6421,0.5180780470326103,0.45453585383884254,0.7331300434957972,0.47940250745908103
amplitude_scale,0.5,6421,0.5966616550589028,0.6104376792819469,0.7349394346887128,0.5590122595473603
amplitude_scale,1.5,6421,0.6927066167675946,0.7014463248080757,0.7573072938749562,0.6794792879922215
lead_dropout,1.0,6421,0.7003931915184772,0.7237628176549264,0.7759332688015305,0.6562267569218428
lead_dropout,3.0,6421,0.6469206104642299,0.6635590896627365,0.741074333150753,0.5999657359405951
