source_db,n,positives,exact_match,f1_macro,f1_micro
ptb-xl,3221,7583,0.4678671220117976,0.7252229090557784,0.7941540027630335
georgia,1588,3015,0.3501259445843829,0.6299572185152965,0.6539360872954014
cpsc_2018,998,1059,0.6422845691382766,0.43327459285316894,0.736587723537941
cpsc_2018_extra,505,834,0.37425742574257426,0.5153673552604338,0.6202980837473385
ptb,99,89,0.5454545454545454,0.2581908831908832,0.6666666666666666
st_petersburg_incart,10,21,0.0,0.1597222222222222,0.43243243243243246
