code,support_positive,precision,recall,f1,auroc,auprc
270492004,355,0.7407407407407407,0.4507042253521127,0.5604203152364273,0.959087827326637,0.6881951688253666
164889003,516,0.9122401847575058,0.7655038759689923,0.8324552160168599,0.9796098103696118,0.8804394998490925
164890007,54,0.053117782909930716,0.42592592592592593,0.0944558521560575,0.8735799172818176,0.05759076144974099
426627000,43,0.038314176245210725,0.23255813953488372,0.06578947368421052,0.8881821231413216,0.0450764947309996
713427006,89,0.08858057630736393,0.9325842696629213,0.1617933723196881,0.9419162165423354,0.12518180136467041
713426002,239,0.144076840981857,0.5648535564853556,0.22959183673469388,0.8445469976947515,0.12251714309892887
445118002,287,0.3376251788268956,0.8222996515679443,0.4787018255578093,0.9551042967227846,0.4437551650924099
39732003,901,0.7753934191702432,0.6015538290788013,0.6775,0.9524923997490711,0.7572268156481684
164909002,165,0.14300960512273211,0.8121212121212121,0.24319419237749546,0.8931643803766566,0.16542473966497193
251146004,90,0.0096051227321238,0.1,0.017526777020447908,0.6854297197213008,0.020730406941148378
698252002,160,0.042689434364994665,0.25,0.07292616226071102,0.7030541247404567,0.041773218571460394
10370003,40,0.20945945945945946,0.775,0.32978723404255317,0.9846242751919763,0.19617199475541922
284470004,258,0.49324324324324326,0.28294573643410853,0.35960591133004927,0.9016851000028931,0.4019282262278939
427172004,31,0.0196078431372549,0.12903225806451613,0.03404255319148936,0.7997046796910494,0.019700998172036816
164947007,57,0.0787037037037037,0.2982456140350877,0.12454212454212454,0.9359279720356832,0.06883384352091942
111975006,239,0.11459074733096085,0.6736401673640168,0.19586374695863748,0.8095767303915131,0.11036314209979418
164917005,150,0.06166666666666667,0.49333333333333335,0.10962962962962963,0.7756588529208526,0.05705419908704048
47665007,68,0.02145922746781116,0.22058823529411764,0.03911342894393742,0.7931338598716678,0.026589001395362757
59118001,356,0.2870864461045891,0.7556179775280899,0.41608662026295434,0.9099597524940485,0.38685576048685055
427393009,188,0.04218967921896792,0.6436170212765957,0.07918848167539266,0.6546163010196244,0.046238138410794084
426177001,355,0.8467432950191571,0.6225352112676056,0.7175324675324676,0.975183080016532,0.8047225883240495
426783006,3132,0.9407252440725244,0.8614303959131545,0.8993333333333333,0.9703219971210976,0.9638796965331512
427084000,360,0.868421052631579,0.7333333333333333,0.7951807228915663,0.9748065959045995,0.8656481426049546
63593006,33,0.02027027027027027,0.09090909090909091,0.03314917127071823,0.7914389670025237,0.018669656440641755
164934002,713,0.33167259786476866,0.6535764375876578,0.4400377714825307,0.8326973485701031,0.2935502423252397
59931005,161,0.05338078291814947,0.4658385093167702,0.09578544061302682,0.723368821066418,0.04945694512033663
17338001,50,0.03431372549019608,0.14,0.05511811023622047,0.8211615131062628,0.03230056367813401
